month,day,FFMC,DMC,DC,ISI,Temperature,RH,wind,rain,outcome
8,5,92.1,111.2,654.1,9.6,20.4,42,4.9,0,0
8,5,91.7,114.3,661.3,6.3,17.6,45,3.6,0,1
9,5,92.9,137,706.4,9.2,27.7,24,2.2,0,1
9,5,90.3,80.7,730.2,6.3,17.8,63,4.9,0,1
10,5,92.6,46.5,691.8,8.8,13.8,50,2.7,0,1
2,5,84,9.3,34,2.1,13.9,40,5.4,0,1
2,5,86.6,13.2,43,5.3,12.3,51,0.9,0,1
3,5,89.3,51.3,102.2,9.6,11.5,39,5.8,0,1
3,5,89.3,51.3,102.2,9.6,5.5,59,6.3,0,0
8,5,93,75.3,466.6,7.7,18.8,35,4.9,0,0
8,5,90.2,99.6,631.2,6.3,20.8,33,2.7,0,0
8,5,91.1,103.2,638.8,5.8,23.1,31,3.1,0,1
8,5,91.7,114.3,661.3,6.3,18.6,44,4.5,0,1
9,5,92.4,117.9,668,12.2,23,37,4.5,0,1
9,5,92.4,117.9,668,12.2,19.6,33,5.4,0,1
9,5,92.4,117.9,668,12.2,19.6,33,6.3,0,0
3,5,91.7,33.3,77.5,9,17.2,26,4.5,0,1
3,5,91.2,48.3,97.8,12.5,15.8,27,7.6,0,1
9,5,94.3,85.1,692.3,15.9,17.7,37,3.6,0,1
3,5,91.7,33.3,77.5,9,15.6,25,6.3,0,0
8,5,88.8,147.3,614.5,9,17.3,43,4.5,0,1
9,5,93.3,141.2,713.9,13.9,27.6,30,1.3,0,1
2,5,84.2,6.8,26.6,7.7,6.7,79,3.1,0,1
2,5,86.6,13.2,43,5.3,15.7,43,3.1,0,1
3,5,87.6,52.2,103.8,5,8.3,72,3.1,0,1
8,5,90.1,108,529.8,12.5,14.7,66,2.7,0,1
8,5,91,121.2,561.6,7,21.6,19,6.7,0,1
8,5,91.4,142.4,601.4,10.6,19.5,39,6.3,0,1
8,5,90.2,99.6,631.2,6.3,17.9,44,2.2,0,1
8,5,94.8,108.3,647.1,17,18.6,51,4.5,0,1
8,5,92.1,111.2,654.1,9.6,16.6,47,0.9,0,1
8,5,91.7,114.3,661.3,6.3,20.2,45,3.6,0,1
9,5,92.9,137,706.4,9.2,21.5,15,0.9,0,1
9,5,92.9,137,706.4,9.2,25.4,27,2.2,0,1
9,5,92.9,137,706.4,9.2,22.4,34,2.2,0,1
9,5,93.5,149.3,728.6,8.1,25.3,36,3.6,0,1
3,5,91.7,35.8,80.8,7.8,17.4,25,4.9,0,1
8,5,90.2,96.9,624.2,8.9,14.7,59,5.8,0,0
3,5,91.7,35.8,80.8,7.8,17.4,24,5.4,0,0
8,5,92.3,85.3,488,14.7,20.8,32,6.3,0,0
8,5,91.4,142.4,601.4,10.6,18.2,43,4.9,0,0
8,5,91.1,103.2,638.8,5.8,23.4,22,2.7,0,0
9,5,89.7,90,704.4,4.8,17.8,64,1.3,0,0
2,5,83.9,8,30.2,2.6,12.7,48,1.8,0,1
3,5,69,2.4,15.5,0.7,17.4,24,5.4,0,0
8,5,91.4,142.4,601.4,10.6,11.6,87,4.5,0,0
8,5,91.4,142.4,601.4,10.6,19.8,39,5.4,0,0
8,5,91.4,142.4,601.4,10.6,19.8,39,5.4,0,0
8,5,88.8,147.3,614.5,9,14.4,66,5.4,0,0
8,5,94.8,108.3,647.1,17,20.1,40,4,0,0
9,5,92.5,121.1,674.4,8.6,24.1,29,4.5,0,0
1,5,82.1,3.7,9.3,2.9,5.3,78,3.1,0,0
3,5,85.9,19.5,57.3,2.8,12.7,52,6.3,0,0
3,5,91.4,30.7,74.3,7.5,18.2,29,3.1,0,0
8,5,90.2,99.6,631.2,6.3,21.4,33,3.1,0,0
9,5,92.5,88,698.6,7.1,20.3,45,3.1,0,1
9,5,88.6,91.8,709.9,7.1,17.4,56,5.4,0,1
3,5,85.9,19.5,57.3,2.8,13.7,43,5.8,0,1
3,5,91.7,33.3,77.5,9,18.8,18,4.5,0,1
9,5,89.7,90,704.4,4.8,22.8,39,3.6,0,1
9,5,91.8,78.5,724.3,9.2,18.9,35,2.7,0,0
3,5,88.1,25.7,67.6,3.8,15.8,27,7.6,0,0
3,5,88.1,25.7,67.6,3.8,15.5,27,6.3,0,0
3,5,91.7,35.8,80.8,7.8,11.6,30,6.3,0,0
3,5,91.7,35.8,80.8,7.8,15.2,27,4.9,0,0
3,5,90.1,39.7,86.6,6.2,10.6,30,4,0,1
8,5,93,75.3,466.6,7.7,19.6,36,3.1,0,0
8,5,91.5,145.4,608.2,10.7,10.3,74,2.2,0,0
8,5,91.5,145.4,608.2,10.7,17.1,43,5.4,0,0
9,5,92.4,124.1,680.7,8.5,22.5,42,5.4,0,0
9,5,84.4,73.4,671.9,3.2,17.9,45,3.1,0,0
9,5,94.3,85.1,692.3,15.9,19.8,50,5.4,0,0
10,5,92.6,46.5,691.8,8.8,20.6,24,5.4,0,0
3,5,87.6,52.2,103.8,5,9,49,2.2,0,0
9,5,93.5,149.3,728.6,8.1,17.2,43,3.1,0,1
10,5,91.4,37.9,673.8,5.2,15.9,46,3.6,0,1
10,5,92.6,46.5,691.8,8.8,15.4,35,0.9,0,0
2,5,68.2,21.5,87.2,0.8,15.4,40,2.7,0,0
3,5,87.2,23.9,64.7,4.1,14,39,3.1,0,1
3,5,89.3,51.3,102.2,9.6,10.6,46,4.9,0,1
9,5,93.7,80.9,685.2,17.9,17.6,42,3.1,0,1
3,5,88.1,25.7,67.6,3.8,14.9,38,2.7,0,0
8,5,93.5,139.4,594.2,20.3,17.6,52,5.8,0,0
9,5,92.4,124.1,680.7,8.5,17.2,58,1.3,0,0
9,5,90.9,126.5,686.5,7,15.6,66,3.1,0,0
7,5,85.8,48.3,313.4,3.9,18,42,2.7,0,0
9,5,91,129.5,692.6,7,21.7,38,2.2,0,0
9,5,90.9,126.5,686.5,7,21.9,39,1.8,0,0
8,5,95.5,99.9,513.3,13.2,23.3,31,4.5,0,0
8,5,90.1,108,529.8,12.5,21.2,51,8.9,0,1
7,5,90,51.3,296.3,8.7,16.6,53,5.4,0,0
8,5,95.5,99.9,513.3,13.2,23.8,32,5.4,0,0
8,5,95.2,131.7,578.8,10.4,27.4,22,4,0,1
3,5,90.1,39.7,86.6,6.2,13.2,40,5.4,0,1
9,5,84.4,73.4,671.9,3.2,24.2,28,3.6,0,1
8,5,94.8,108.3,647.1,17,17.4,43,6.7,0,1
9,5,93.7,80.9,685.2,17.9,23.7,25,4.5,0,1
6,5,92.5,56.4,433.3,7.1,23.2,39,5.4,0,1
7,5,90.1,68.6,355.2,7.2,24.8,29,2.2,0,0
7,5,90.1,51.2,424.1,6.2,24.6,43,1.8,0,0
9,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0,1
9,5,93.4,145.4,721.4,8.1,29.6,27,2.7,0,1
8,5,94.8,108.3,647.1,17,16.4,47,1.3,0,1
9,5,93.4,145.4,721.4,8.1,28.6,27,2.2,0,1
8,5,92.1,111.2,654.1,9.6,18.4,45,3.6,0,1
8,5,92.1,111.2,654.1,9.6,20.5,35,4,0,1
9,5,92.4,117.9,668,12.2,19,34,5.8,0,1
3,5,90.1,39.7,86.6,6.2,16.1,29,3.1,0,1
8,5,95.2,131.7,578.8,10.4,20.3,41,4,0,0
3,5,90.6,50.1,100.4,7.8,15.2,31,8.5,0,0
9,5,92.5,121.1,674.4,8.6,17.8,56,1.8,0,1
9,5,89.7,90,704.4,4.8,17.8,67,2.2,0,1
3,5,84.9,18.2,55,3,5.3,70,4.5,0,1
8,5,92.1,111.2,654.1,9.6,16.6,47,0.9,0,1
8,5,96,127.1,570.5,16.5,23.4,33,4.5,0,1
3,5,91.2,48.3,97.8,12.5,14.6,26,9.4,0,1
8,5,95.2,131.7,578.8,10.4,20.7,45,2.2,0,1
9,5,92.9,133.3,699.6,9.2,21.9,35,1.8,0,1
8,5,85.6,90.4,609.6,6.6,17.4,50,4,0,1
8,1,91.4,142.4,601.4,10.6,20.1,39,5.4,0,1
9,1,90.9,126.5,686.5,7,17.7,39,2.2,0,1
8,1,90.2,96.9,624.2,8.9,14.2,53,1.8,0,0
8,1,90.2,96.9,624.2,8.9,20.3,39,4.9,0,0
4,1,81.5,9.1,55.2,2.7,5.8,54,5.8,0,0
8,1,90.2,99.6,631.2,6.3,19.2,44,2.7,0,0
9,1,90.1,82.9,735.7,6.2,18.3,45,2.2,0,1
8,1,88.8,147.3,614.5,9,14.4,66,5.4,0,1
9,1,92.4,124.1,680.7,8.5,23.9,32,6.7,0,1
10,1,84.9,32.8,664.2,3,19.1,32,4,0,1
2,1,86.8,15.6,48.3,3.9,12.4,53,2.2,0,0
10,1,91.7,48.5,696.1,11.1,16.8,45,4.5,0,1
8,1,93.9,135.7,586.7,15.1,20.8,34,4.9,0,1
9,1,91,129.5,692.6,7,17.6,46,3.1,0,1
3,1,89.3,51.3,102.2,9.6,11.5,39,5.8,0,1
9,1,90.9,126.5,686.5,7,21,42,2.2,0,0
3,1,90.8,41.9,89.4,7.9,13.3,42,0.9,0,0
3,1,90.7,44,92.4,5.5,11.5,60,4,0,1
3,1,91.2,48.3,97.8,12.5,11.7,33,4,0,1
8,1,95.2,131.7,578.8,10.4,24.2,28,2.7,0,1
8,1,94.8,108.3,647.1,17,24.6,22,4.5,0,1
9,1,92.9,133.3,699.6,9.2,24.3,25,4,0,1
8,1,94.8,108.3,647.1,17,24.6,22,4.5,0,1
8,1,93.9,135.7,586.7,15.1,23.5,36,5.4,0,1
4,1,81.5,9.1,55.2,2.7,5.8,54,5.8,0,1
9,1,92.9,137,706.4,9.2,21.5,15,0.9,0,1
9,1,91,129.5,692.6,7,13.9,59,6.3,0,1
9,1,63.5,70.8,665.3,0.8,22.6,38,3.6,0,1
9,1,91,129.5,692.6,7,21.6,33,2.2,0,1
3,1,90.1,37.6,83.7,7.2,12.4,54,3.6,0,1
2,1,83.9,8.7,32.1,2.1,8.8,68,2.2,0,1
10,1,91.4,37.9,673.8,5.2,20.2,37,2.7,0,1
3,1,90.6,50.1,100.4,7.8,15.1,64,4,0,1
9,1,92.9,137,706.4,9.2,22.1,34,1.8,0,1
8,1,93.5,139.4,594.2,20.3,22.9,31,7.2,0,1
9,1,91,129.5,692.6,7,20.7,37,2.2,0,1
9,1,92.4,117.9,668,12.2,19.6,33,6.3,0,1
9,1,93.7,80.9,685.2,17.9,23.2,26,4.9,0,0
10,1,90.6,43.7,686.9,6.7,18.4,25,3.1,0,1
8,1,93.5,139.4,594.2,20.3,5.1,96,5.8,0,1
9,1,94.3,85.1,692.3,15.9,20.1,47,4.9,0,1
3,1,87.6,52.2,103.8,5,11,46,5.8,0,0
3,1,91.7,35.8,80.8,7.8,17,27,4.9,0,0
3,1,91.7,35.8,80.8,7.8,17,27,4.9,0,1
9,1,92.4,124.1,680.7,8.5,16.9,60,1.3,0,0
9,1,88.6,91.8,709.9,7.1,12.4,73,6.3,0,0
9,1,92.9,133.3,699.6,9.2,19.4,19,1.3,0,0
3,1,90.1,39.7,86.6,6.2,15.2,27,3.1,0,1
8,1,90.2,99.6,631.2,6.3,16.2,59,3.1,0,1
9,1,93.3,141.2,713.9,13.9,18.6,49,3.6,0,1
3,1,87.6,52.2,103.8,5,11,46,5.8,0,0
7,1,88.3,150.3,309.9,6.8,13.4,79,3.6,0,0
9,1,90.1,82.9,735.7,6.2,15.4,57,4.5,0,1
9,1,93.5,149.3,728.6,8.1,22.9,39,4.9,0,1
10,1,91.7,48.5,696.1,11.1,16.1,44,4,0,1
8,1,92.2,81.8,480.8,11.9,20.1,34,4.5,0,1
9,1,93.5,149.3,728.6,8.1,28.3,26,3.1,0,1
8,1,92.2,81.8,480.8,11.9,16.4,43,4,0,1
9,1,92.9,133.3,699.6,9.2,26.4,21,4.5,0,1
9,1,93.5,149.3,728.6,8.1,27.8,27,3.1,0,1
9,1,91,129.5,692.6,7,18.7,43,2.7,0,0
9,1,84.4,73.4,671.9,3.2,24.3,36,3.1,0,1
9,1,92.5,121.1,674.4,8.6,17.7,25,3.1,0,1
8,1,91.4,142.4,601.4,10.6,19.6,41,5.8,0,1
9,1,92.5,121.1,674.4,8.6,18.2,46,1.8,0,0
9,1,91,129.5,692.6,7,18.8,40,2.2,0,0
9,1,92.5,121.1,674.4,8.6,25.1,27,4,0,1
4,1,81.9,3,7.9,3.5,13.4,75,1.8,0,0
4,1,88,17.2,43.5,3.8,15.2,51,2.7,0,0
4,1,83,23.3,85.3,2.3,16.7,20,3.1,0,0
8,1,94.2,122.3,589.9,12.9,15.4,66,4,0,0
9,1,92.4,105.8,758.1,9.9,24.9,27,2.2,0,0
9,1,92.4,105.8,758.1,9.9,25.3,27,2.7,0,0
9,1,92.4,105.8,758.1,9.9,24.8,28,1.8,0,0
9,1,50.4,46.2,706.6,0.4,12.2,78,6.3,0,0
9,1,92.6,115.4,777.1,8.8,24.3,27,4.9,0,0
9,1,92.6,115.4,777.1,8.8,19.7,41,1.8,0,1
9,1,91.2,134.7,817.5,7.2,18.5,30,2.7,0,1
9,1,92.4,96.2,739.4,8.6,18.6,24,5.8,0,1
9,1,92.4,96.2,739.4,8.6,19.2,24,4.9,0,0
9,1,92.8,119,783.5,7.5,21.6,27,2.2,0,0
9,1,92.8,119,783.5,7.5,21.6,28,6.3,0,1
9,1,92.8,119,783.5,7.5,18.9,34,7.2,0,1
9,1,92.8,119,783.5,7.5,16.8,28,4,0,0
9,1,92.8,119,783.5,7.5,16.8,28,4,0,0
9,1,90.7,136.9,822.8,6.8,12.9,39,2.7,0,0
9,1,88.1,53.3,726.9,5.4,13.7,56,1.8,0,0
9,1,92.2,102.3,751.5,8.4,24.2,27,3.1,0,0
9,1,92.2,102.3,751.5,8.4,24.1,27,3.1,0,0
9,1,92.2,102.3,751.5,8.4,21.2,32,2.2,0,0
9,6,92.2,102.3,751.5,8.4,19.7,35,1.8,0,0
9,6,92.2,102.3,751.5,8.4,23.5,27,4,0,1
9,6,92.2,102.3,751.5,8.4,24.2,27,3.1,0,0
9,6,91.2,124.4,795.3,8.5,21.5,28,4.5,0,1
9,6,91.2,124.4,795.3,8.5,17.1,41,2.2,0,1
9,6,92.1,87.7,721.1,9.5,18.1,54,3.1,0,1
9,6,91.6,108.4,764,6.2,18,51,5.4,0,1
9,6,91.6,108.4,764,6.2,9.8,86,1.8,0,1
9,6,91.6,108.4,764,6.2,19.3,44,2.2,0,1
9,6,91.6,108.4,764,6.2,23,34,2.2,0,0
9,6,91.6,108.4,764,6.2,22.7,35,2.2,0,1
9,6,91.6,108.4,764,6.2,20.4,41,1.8,0,0
9,6,91.6,108.4,764,6.2,19.3,44,2.2,0,0
9,6,91.9,111.7,770.3,6.5,15.7,51,2.2,0,0
9,6,91.5,130.1,807.1,7.5,20.6,37,1.8,0,0
9,6,91.5,130.1,807.1,7.5,15.9,51,4.5,0,1
9,6,91.5,130.1,807.1,7.5,12.2,66,4.9,0,1
9,6,91.5,130.1,807.1,7.5,16.8,43,3.1,0,0
9,6,91.5,130.1,807.1,7.5,21.3,35,2.2,0,1
9,6,92.1,99,745.3,9.6,10.1,75,3.6,0,0
9,6,92.1,99,745.3,9.6,17.4,57,4.5,0,0
9,6,92.1,99,745.3,9.6,12.8,64,3.6,0,0
9,6,92.1,99,745.3,9.6,10.1,75,3.6,0,0
9,6,92.1,99,745.3,9.6,15.4,53,6.3,0,0
9,6,92.1,99,745.3,9.6,20.6,43,3.6,0,0
9,6,92.1,99,745.3,9.6,19.8,47,2.7,0,0
9,6,92.1,99,745.3,9.6,18.7,50,2.2,0,0
9,6,92.1,99,745.3,9.6,20.8,35,4.9,0,1
9,6,92.1,99,745.3,9.6,20.8,35,4.9,0,1
9,6,92.5,122,789.7,10.2,15.9,55,3.6,0,1
9,6,92.5,122,789.7,10.2,19.7,39,2.7,0,1
9,6,92.5,122,789.7,10.2,21.1,39,2.2,0,1
9,6,92.5,122,789.7,10.2,18.4,42,2.2,0,0
9,6,92.5,122,789.7,10.2,17.3,45,4,0,0
9,6,88.2,55.2,732.3,11.6,15.2,64,3.1,0,0
9,6,91.9,111.7,770.3,6.5,15.9,53,2.2,0,1
9,6,91.9,111.7,770.3,6.5,21.1,35,2.7,0,1
9,6,91.9,111.7,770.3,6.5,19.6,45,3.1,0,1
9,6,91.1,132.3,812.1,12.5,15.9,38,5.4,0,1
9,6,91.1,132.3,812.1,12.5,16.4,27,3.6,0,1
9,6,91.2,94.3,744.4,8.4,16.8,47,4.9,0,1
9,6,91,276.3,825.1,7.1,13.8,77,7.6,0,1
9,6,91,276.3,825.1,7.1,13.8,77,7.6,0,0
7,6,91.9,133.6,520.5,8,14.2,58,4,0,0
8,6,92,203.2,664.5,8.1,10.4,75,0.9,0,0
8,6,94.8,222.4,698.6,13.9,20.3,42,2.7,0,1
9,6,90.3,290,855.3,7.4,10.3,78,4,0,1
9,6,91.2,94.3,744.4,8.4,15.4,57,4.9,0,1
8,6,92.1,207,672.6,8.2,21.1,54,2.2,0,1
8,6,93.7,231.1,715.1,8.4,21.9,42,2.2,0,0
3,6,90.9,18.9,30.6,8,8.7,51,5.8,0,1
1,6,18.7,1.1,171.4,0,5.2,100,0.9,0,1
7,6,93.7,101.3,458.8,11.9,19.3,39,7.2,0,1
8,6,90.7,194.1,643,6.8,16.2,63,2.7,0,0
8,6,95.2,217.7,690,18,28.2,29,1.8,0,1
8,6,91.6,248.4,753.8,6.3,20.5,58,2.7,0,1
8,6,91.6,273.8,819.1,7.7,21.3,44,4.5,0,1
8,6,91.6,181.3,613,7.6,20.9,50,2.2,0,1
9,6,90.5,96.7,750.5,11.4,20.6,55,5.4,0,1
3,6,90.9,18.9,30.6,8,11.6,48,5.4,0,1
8,6,94.8,227,706.7,12,23.3,34,3.1,0,1
8,6,94.8,227,706.7,12,23.3,34,3.1,0,1
2,6,84.7,9.5,58.3,4.1,7.5,71,6.3,0,1
9,6,91.1,91.3,738.1,7.2,20.7,46,2.7,0,1
9,6,91,276.3,825.1,7.1,21.9,43,4,0,1
3,6,93.4,15,25.6,11.4,15.2,19,7.6,0,1
2,6,84.1,4.6,46.7,2.2,5.3,68,1.8,0,1
2,6,85,9,56.9,3.5,10.1,62,1.8,0,1
9,6,90.5,96.7,750.5,11.4,20.4,55,4.9,0,1
8,6,91.6,181.3,613,7.6,24.3,33,3.6,0,1
8,6,93.7,231.1,715.1,8.4,25.9,32,3.1,0,1
6,6,93.3,49.5,297.7,14,28,34,4.5,0,0
6,6,93.3,49.5,297.7,14,28,34,4.5,0,0
9,6,91.1,88.2,731.7,8.3,22.8,46,4,0,0
8,6,94.8,227,706.7,12,25,36,4,0,0
8,6,90.7,194.1,643,6.8,21.3,41,3.6,0,0
9,6,87.9,84.8,725.1,3.7,21.8,34,2.2,0,0
8,6,94.6,212.1,680.9,9.5,27.9,27,2.2,0,1
9,6,87.1,291.3,860.6,4,17,67,4.9,0,0
2,6,84.7,8.2,55,2.9,14.2,46,4,0,0
9,6,90.3,290,855.3,7.4,19.9,44,3.1,0,0
7,6,92.3,96.2,450.2,12.1,23.4,31,5.4,0,0
2,6,84.1,7.3,52.8,2.7,14.7,42,2.7,0,0
2,6,84.6,3.2,43.6,3.3,8.2,53,9.4,0,0
7,6,92.3,92.1,442.1,9.8,22.8,27,4.5,0,0
8,6,93.7,231.1,715.1,8.4,26.4,33,3.6,0,0
8,6,93.6,235.1,723.1,10.1,24.1,50,4,0,0
8,6,94.8,222.4,698.6,13.9,27.5,27,4.9,0,0
7,6,92.7,164.1,575.8,8.9,26.3,39,3.1,0,0
3,6,93.4,17.3,28.3,9.9,13.8,24,5.8,0,1
8,6,92,203.2,664.5,8.1,24.9,42,5.4,0,1
8,6,91.6,181.3,613,7.6,24.8,36,4,0,1
8,6,91.7,191.4,635.9,7.8,26.2,36,4.5,0,1
8,6,95.2,217.7,690,18,30.8,19,4.5,0,1
7,6,88.9,263.1,795.9,5.2,29.3,27,3.6,0,0
9,6,91.2,94.3,744.4,8.4,22.3,48,4,0,0
8,6,93.7,231.1,715.1,8.4,26.9,31,3.6,0,0
8,6,91.6,248.4,753.8,6.3,20.4,56,2.2,0,0
8,6,91.6,248.4,753.8,6.3,20.4,56,2.2,0,0
8,6,92.1,207,672.6,8.2,27.9,33,2.2,0,1
8,6,94.8,222.4,698.6,13.9,26.2,34,5.8,0,0
8,6,91.6,181.3,613,7.6,24.6,44,4,0,0
9,6,89.7,287.2,849.3,6.8,19.4,45,3.6,0,0
8,6,92.1,178,605.3,9.6,23.3,40,4,0,0
8,6,94.8,222.4,698.6,13.9,23.9,38,6.7,0,0
8,6,93.6,235.1,723.1,10.1,20.9,66,4.9,0,0
8,6,90.6,269.8,811.2,5.5,22.2,45,3.6,0,0
7,6,90.8,84.7,376.6,5.6,23.8,51,1.8,0,0
8,6,92.1,207,672.6,8.2,26.8,35,1.3,0,1
8,6,89.4,253.6,768.4,9.7,14.2,73,2.7,0,1
8,6,93.7,231.1,715.1,8.4,23.6,53,4,0,0
9,6,91.1,91.3,738.1,7.2,19.1,46,2.2,0,0
9,6,90.3,290,855.3,7.4,16.2,58,3.6,0,1
8,6,92.1,207,672.6,8.2,25.5,29,1.8,0,1
4,6,87.9,24.9,41.6,3.7,10.9,64,3.1,0,1
7,6,90.7,80.9,368.3,16.8,14.8,78,8,0,0
9,6,90.3,290,855.3,7.4,16.2,58,3.6,0,0
8,6,94,47.9,100.7,10.7,17.3,80,4.5,0,0
8,6,92,203.2,664.5,8.1,19.1,70,2.2,0,0
3,6,93.4,17.3,28.3,9.9,8.9,35,8,0,0
9,6,89.7,284.9,844,10.1,10.5,77,4,0,0
8,6,91.6,181.3,613,7.6,19.3,61,4.9,0,0
8,6,95.2,217.7,690,18,23.4,49,5.4,0,0
8,6,90.5,196.8,649.9,16.3,11.8,88,4.9,0,1
8,6,91.5,238.2,730.6,7.5,17.7,65,4,0,0
8,6,89.4,266.2,803.3,5.6,17.4,54,3.1,0,0
8,6,91.6,248.4,753.8,6.3,16.8,56,3.1,0,1
7,6,94.6,160,567.2,16.7,17.9,48,2.7,0,1
8,6,91.6,248.4,753.8,6.3,16.6,59,2.7,0,1
8,6,91.7,191.4,635.9,7.8,19.9,50,4,0,1
8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0,1
8,6,91.6,273.8,819.1,7.7,15.5,72,8,0,1
8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0,0
8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0,0
9,6,91,276.3,825.1,7.1,14.5,76,7.6,0,1
2,6,75.1,4.4,16.2,1.9,4.6,82,6.3,0,1
2,6,75.1,4.4,16.2,1.9,5.1,77,5.4,0,1
2,6,79.5,3.6,15.3,1.8,4.6,59,0.9,0,1
3,6,87.2,15.1,36.9,7.1,10.2,45,5.8,0,1
3,6,90.2,18.5,41.1,7.3,11.2,41,5.4,0,1
3,6,91.3,20.6,43.5,8.5,13.3,27,3.6,0,1
4,6,91,14.6,25.6,12.3,13.7,33,9.4,0,1
4,6,91,14.6,25.6,12.3,17.6,27,5.8,0,0
5,6,89.6,25.4,73.7,5.7,18,40,4,0,0
6,6,88.2,96.2,229,4.7,14.3,79,4,0,1
6,6,90.5,61.1,252.6,9.4,24.5,50,3.1,0,1
6,6,93,103.8,316.7,10.8,26.4,35,2.7,0,1
6,6,93.7,121.7,350.2,18,22.7,40,9.4,0,1
7,6,93.5,85.3,395,9.9,27.2,28,1.3,0,1
7,6,93.7,101.3,423.4,14.7,26.1,45,4,0,1
7,6,93.7,101.3,423.4,14.7,18.2,82,4.5,0,1
7,6,89.2,103.9,431.6,6.4,22.6,57,4.9,0,1
7,6,93.2,114.4,560,9.5,30.2,25,4.5,0,1
7,6,93.2,114.4,560,9.5,30.2,22,4.9,0,1
8,6,94.9,130.3,587.1,14.1,23.4,40,5.8,0,1
8,6,94.9,130.3,587.1,14.1,31,27,5.4,0,0
8,6,94.9,130.3,587.1,14.1,33.1,25,4,0,0
8,6,95,135.5,596.3,21.3,30.6,28,3.6,0,0
8,6,95.1,141.3,605.8,17.7,24.1,43,6.3,0,0
8,6,95.1,141.3,605.8,17.7,26.4,34,3.6,0,1
8,6,95.1,141.3,605.8,17.7,19.4,71,7.6,0,1
8,6,95.1,141.3,605.8,17.7,20.6,58,1.3,0,1
